grower,field_id,area_acres,mean_corn_pct,mean_soybean_pct,crop_diversity,mean_t2m_c,mean_annual_precip_mm
Illinois,osm-1035467708,19.5,50.6,95.8,2,10.8,862.0
Illinois,osm-1226636564,67.7,65.0,96.7,2,10.1,846.0
Illinois,osm-1333296922,119.4,53.3,43.1,2,10.1,846.0
Illinois,osm-1333296939,21.4,18.1,15.6,2,10.1,846.0
Illinois,osm-1396477772,10.3,51.0,18.4,3,10.1,846.0
Illinois,osm-660891725,98.3,75.1,88.0,2,10.8,862.0
Illinois,osm-660987112,106.7,53.9,48.9,2,10.8,862.0
Illinois,osm-660987142,2.7,100.0,96.9,2,10.8,862.0
Illinois,osm-661592331,205.8,59.2,39.5,2,10.8,862.0
Illinois,osm-984791369,245.2,69.8,36.2,2,10.1,846.0
Iowa,osm-1230202954,57.5,75.4,33.7,2,9.4,822.0
Iowa,osm-1232032085,145.3,46.8,48.2,2,9.4,822.0
Iowa,osm-1232802180,534.5,57.2,40.9,2,9.4,822.0
Iowa,osm-1232802197,593.7,66.1,31.8,2,9.4,822.0
Iowa,osm-1233393079,51.9,95.7,95.7,2,9.4,822.0
Iowa,osm-1233847993,127.7,74.0,65.2,2,9.4,822.0
Iowa,osm-1240316511,604.9,69.1,28.3,2,9.4,822.0
Iowa,osm-1241791175,331.7,57.2,38.2,2,9.4,822.0
Iowa,osm-1245704820,18.6,37.5,35.5,2,9.4,822.0
Iowa,osm-1266649178,660.2,50.6,47.3,2,9.4,822.0
Nebraska,osm-1308109755,140.2,79.1,30.8,2,11.5,627.0
Nebraska,osm-1467726055,75.8,97.1,0.9,1,11.8,622.0
Nebraska,osm-1514348164,41.0,60.9,92.5,2,11.8,622.0
Nebraska,osm-1514348172,301.3,50.4,59.5,2,11.8,622.0
Nebraska,osm-796348039,21.7,98.2,50.5,2,11.8,622.0
Nebraska,osm-796348040,12.9,69.7,20.8,2,11.8,622.0
Nebraska,osm-796348537,26.4,17.6,50.5,2,11.8,622.0
Nebraska,osm-796351098,24.4,52.8,45.0,2,11.8,622.0
Nebraska,osm-796673259,36.0,92.3,1.8,1,11.8,622.0
Nebraska,osm-796673266,29.1,93.6,46.2,2,11.8,622.0
